BOL_Number,Carrier,Forwarder,Customer,Commodity,Container_Type,Num_Containers,POL,POD,Incoterms,ETD,ETA,Actual_Arrival,Transit_Days,Delay_Days,On_Time_Delivery,Delay_Reason,Freight_Rate_USD,Total_Freight_USD,Cargo_Weight_KG,Cargo_Value_USD,Shipment_Status
BOL000001,Yang Ming,Expeditors,Home Depot Canada,Electronics,40GP,3,Shenzhen,Halifax,FOB,2022-08-17,2022-09-01,2022-09-01,15,0,Yes,None,3524.94,10574.82,61692.26,447167.99,Delivered
BOL000002,Yang Ming,Expeditors,Loblaw Companies,Chemicals,40RF,9,Shanghai,Los Angeles,EXW,2023-04-22,2023-05-07,2023-05-07,15,0,Yes,None,2352.22,21169.98,137986.27,146313.45,Delivered
BOL000003,Yang Ming,Panalpina,Empire Company,Apparel,40HC,6,Colombo,Vancouver,CFR,2023-11-21,2023-12-11,2023-12-11,20,0,Yes,None,3033.79,18202.74,141383.7,367568.58,Delivered
BOL000004,CMA CGM,DSV,Costco Canada,Chemicals,40HC,2,Hamburg,Houston,EXW,2023-01-29,2023-02-16,2023-02-16,18,0,Yes,None,3964.68,7929.36,49858.25,196261.85,Delivered
BOL000005,ONE,Panalpina,Canadian Tire,Electronics,40GP,8,Colombo,New York,CIF,2022-05-27,2022-06-20,2022-06-20,24,0,Yes,None,2203.99,17631.92,222072.3,323599.88,Delivered
BOL000006,Hapag-Lloyd,DSV,Reitmans,Furniture,20RF,6,Hamburg,Los Angeles,CIF,2024-04-01,2024-05-02,2024-05-02,31,0,Yes,None,1586.72,9520.32,98893.91,443494.75,Delivered
BOL000007,Yang Ming,Sinotrans,Sport Chek,Steel Products,40GP,9,Ningbo,Los Angeles,FOB,2024-05-27,2024-07-05,2024-07-05,39,0,Yes,None,2626.01,23634.09,201446.91,431940.43,Delivered
BOL000008,Hapag-Lloyd,CEVA Logistics,Giant Tiger,Food Products,20GP,2,Hong Kong,Vancouver,CIF,2024-08-16,2024-09-15,2024-09-15,30,0,Yes,None,3322.33,6644.66,34700.64,140744.34,Delivered
BOL000009,Maersk,CEVA Logistics,Sobeys,Steel Products,40RF,9,Colombo,Montreal,EXW,2023-06-24,2023-07-19,2023-07-28,25,9,No,Bad Weather,3053.19,27478.71,76637.73,383630.29,Delayed
BOL000010,COSCO,DB Schenker,Sobeys,Furniture,40GP,1,Hamburg,Vancouver,CIF,2022-08-18,2022-09-24,2022-10-09,37,15,No,Bad Weather,1691.22,1691.22,18049.21,48590.95,Delayed
BOL000011,MSC,Panalpina,Home Depot Canada,Auto Parts,40RF,5,Colombo,Seattle,CIF,2023-06-27,2023-08-07,2023-08-11,41,4,No,Customs Inspection,2276.27,11381.35,102244.0,192976.05,Delivered
BOL000012,Evergreen,Expeditors,Sobeys,Machinery,20GP,1,Shenzhen,Montreal,DDP,2022-02-13,2022-03-13,2022-03-13,28,0,Yes,None,1647.08,1647.08,25824.66,431221.35,Delivered
BOL000013,Maersk,Panalpina,Sport Chek,Apparel,45HC,4,Rotterdam,Seattle,FOB,2022-09-28,2022-11-11,2022-11-11,44,0,Yes,None,1149.01,4596.04,80626.41,183605.81,Delivered
